L2 Size,L2 Assoc,L2 Repl,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Helper Thread Accuracy,Helper Thread Coverage,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,2,LRU,20,10,3375728053,1.0000,0.2960,3808745,9339129,0.1830,4490549,0.5290,214714,8570405,0.277,0.407,28156,186558,3570356,6552,16219,1939057
96 KB,4,LRU,20,10,3353819652,1.0065,0.2980,3952682,9111809,0.1910,2851592,0.5700,206181,8457461,0.29,0.43,20359,185822,3717897,4777,21284,1351399
96 KB,8,LRU,20,10,3323736491,1.0156,0.2990,4105024,8920817,0.2000,1573304,0.6070,198931,8329835,0.303,0.455,11237,187694,3870340,6640,12663,862381
128 KB,8,LRU,20,10,3276685422,1.0302,0.3030,4213878,8742330,0.2060,3667,0.4860,191836,8220627,0.313,0.474,340,191496,3983129,4482,47,694
256 KB,8,LRU,20,10,3276637422,1.0302,0.3030,4213991,8740350,0.2060,1008,0.2590,191867,8220537,0.313,0.474,327,191540,3983311,4436,40,536
512 KB,8,LRU,20,10,3276622703,1.0302,0.3030,4214152,8739942,0.2060,0,0.1510,191919,8220284,0.313,0.474,359,191560,3983445,4413,0,620
1 MB,8,LRU,20,10,3276622703,1.0302,0.3030,4214152,8739942,0.2060,0,0.0760,191919,8220284,0.313,0.474,359,191560,3983445,4413,0,1193
2 MB,8,LRU,20,10,3276622703,1.0302,0.3030,4214152,8739942,0.2060,0,0.0380,191919,8220284,0.313,0.474,359,191560,3983445,4413,0,1591
96 KB,16,LRU,20,10,3277232422,1.0301,0.3030,4215025,8749887,0.2060,51654,0.6440,192352,8225356,0.313,0.474,443,191909,3984572,4566,30,3500
96 KB,32,LRU,20,10,3276663422,1.0302,0.3030,4214238,8740076,0.2060,695,0.6460,191949,8220386,0.313,0.474,350,191599,3983459,4459,4,63
