L2 Size,L2 Assoc,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio
128 KB,8,4001145025,1.0000,0.2100,14560,12695141,0.0010,0,0.4390
256 KB,8,4001145025,1.0000,0.2100,14560,12695141,0.0010,0,0.2190
512 KB,8,4001145025,1.0000,0.2100,14560,12695141,0.0010,0,0.1100
1 MB,8,4001145025,1.0000,0.2100,14560,12695141,0.0010,0,0.0550
2 MB,8,4001145025,1.0000,0.2100,14560,12695141,0.0010,0,0.0270
96 KB,32,4001145232,1.0000,0.2100,14560,12695141,0.0010,10,0.5790
96 KB,16,4001147526,1.0000,0.2100,14561,12695163,0.0010,135,0.5200
96 KB,8,4001166684,1.0000,0.2100,14562,12695429,0.0010,943,0.4300
96 KB,4,4001435947,0.9999,0.2100,14561,12707953,0.0010,47911,0.4280
96 KB,2,4005695559,0.9989,0.2100,17289,12764949,0.0010,683068,0.4130
