L2 Size,L2 Assoc,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
512 KB,8,20,10,3276622703,1.0000,0.3030,4214152,8739942,0.2060,0,0.1510,191919,8220284,359,191560,3983445,4413,0,620
1 MB,8,20,10,3276622703,1.0000,0.3030,4214152,8739942,0.2060,0,0.0760,191919,8220284,359,191560,3983445,4413,0,1193
2 MB,8,20,10,3276622703,1.0000,0.3030,4214152,8739942,0.2060,0,0.0380,191919,8220284,359,191560,3983445,4413,0,1591
256 KB,8,20,10,3276637422,1.0000,0.3030,4213991,8740350,0.2060,1008,0.2590,191867,8220537,327,191540,3983311,4436,40,536
96 KB,32,20,10,3276663422,1.0000,0.3030,4214238,8740076,0.2060,695,0.6460,191949,8220386,350,191599,3983459,4459,4,63
128 KB,8,20,10,3276685422,1.0000,0.3030,4213878,8742330,0.2060,3667,0.4860,191836,8220627,340,191496,3983129,4482,47,694
96 KB,16,20,10,3277232422,0.9998,0.3030,4215025,8749887,0.2060,51654,0.6440,192352,8225356,443,191909,3984572,4566,30,3500
96 KB,8,10,10,3308882518,0.9903,0.2900,4932347,8090264,0.2380,2011590,0.5940,198554,8333553,34937,163617,4078282,647843,16498,1050437
96 KB,8,20,10,3323736491,0.9858,0.2990,4105024,8920817,0.2000,1573304,0.6070,198931,8329835,11237,187694,3870340,6640,12663,862381
96 KB,8,20,20,3327230514,0.9848,0.2940,4167242,8784398,0.2000,1722097,0.6060,120386,8394008,11871,108515,3874733,144777,13182,933081
96 KB,8,20,40,3343432514,0.9800,0.2900,4394972,8519553,0.2090,1771316,0.6050,84301,8469870,13779,70522,3816176,471141,13621,944947
96 KB,4,20,10,3353819652,0.9770,0.2980,3952682,9111809,0.1910,2851592,0.5700,206181,8457461,20359,185822,3717897,4777,21284,1351399
96 KB,8,10,20,3364027470,0.9740,0.2830,5606210,7337368,0.2650,1716310,0.5930,135087,8552923,42908,92179,3763230,1712208,14187,869735
