[23743321] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x005e9bc0, requesterAccess=c1t0 0x0041fb18: 0x005e9bc0 STORE, lineFound=LockableCacheLine{set=6767, way=3, tag=<INVALID>, transientTag=0x005e9bc0, state=INVALID}, hitInCache=false, eviction=false}
[23743351] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x00002c00, requesterAccess=c1t0 0x00402c3c: 0x00002c00 IFETCH, lineFound=LockableCacheLine{set=176, way=4, tag=<INVALID>, transientTag=0x00002c00, state=INVALID}, hitInCache=false, eviction=false}
[23743605] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x00002c40, requesterAccess=c1t0 0x00402c68: 0x00002c40 IFETCH, lineFound=LockableCacheLine{set=177, way=4, tag=<INVALID>, transientTag=0x00002c40, state=INVALID}, hitInCache=false, eviction=false}
[23743610] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x005e9b80, requesterAccess=c1t0 0x00402c40: 0x005e9b80 STORE, lineFound=LockableCacheLine{set=6766, way=3, tag=<INVALID>, transientTag=0x005e9b80, state=INVALID}, hitInCache=false, eviction=false}
[23743871] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x005e9b00, requesterAccess=c1t0 0x00402c58: 0x005e9b00 STORE, lineFound=LockableCacheLine{set=6764, way=3, tag=<INVALID>, transientTag=0x005e9b00, state=INVALID}, hitInCache=false, eviction=false}
[23743900] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x005e9c00, requesterAccess=c1t0 0x00402c78: 0x005e9c00 STORE, lineFound=LockableCacheLine{set=6768, way=3, tag=<INVALID>, transientTag=0x005e9c00, state=INVALID}, hitInCache=false, eviction=false}
[23743903] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x00002c80, requesterAccess=c1t0 0x00402c84: 0x00002c80 IFETCH, lineFound=LockableCacheLine{set=178, way=4, tag=<INVALID>, transientTag=0x00002c80, state=INVALID}, hitInCache=false, eviction=false}
[23744178] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x005e9ac0, requesterAccess=c1t0 0x0040c570: 0x005e9ac0 STORE, lineFound=LockableCacheLine{set=6763, way=3, tag=<INVALID>, transientTag=0x005e9ac0, state=INVALID}, hitInCache=false, eviction=false}
[23744243] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x00002d80, requesterAccess=c1t0 0x00402dbc: 0x00002d80 IFETCH, lineFound=LockableCacheLine{set=182, way=4, tag=<INVALID>, transientTag=0x00002d80, state=INVALID}, hitInCache=false, eviction=false}
[23744438] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x005e9cc0, requesterAccess=c1t0 0x00402c88: 0x005e9cc0 LOAD, lineFound=LockableCacheLine{set=6771, way=3, tag=<INVALID>, transientTag=0x005e9cc0, state=INVALID}, hitInCache=false, eviction=false}
[23744508] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x0008c140, requesterAccess=c1t0 0x00402db0: 0x0008c140 LOAD, lineFound=LockableCacheLine{set=773, way=4, tag=<INVALID>, transientTag=0x0008c140, state=INVALID}, hitInCache=false, eviction=false}
[23744608] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x005e9a80, requesterAccess=c1t0 0x00406c44: 0x005e9a80 STORE, lineFound=LockableCacheLine{set=6762, way=3, tag=<INVALID>, transientTag=0x005e9a80, state=INVALID}, hitInCache=false, eviction=false}
[23744636] htRequest: CoherentCacheServiceNonblockingRequestEvent{address=0x00006c80, requesterAccess=c1t0 0x00406cbc: 0x00006c80 IFETCH, lineFound=LockableCacheLine{set=434, way=4, tag=<INVALID>, transientTag=0x00006c80, state=INVALID}, hitInCache=false, eviction=false}
