
"Data_Packet_Traffic","Data_Packet_Injection_Rate_(packets/cycle/node)","Routing_Algorithm","Selection_Policy","Routing+Selection","Ant_Packet_Traffic","Ant_Packet_Injection_Rate_(packets/cycle/node)","Alpha","Reinforcement_Factor","NoC_Routing_Solution","Simulation_Time","Total_Cycles","Packets_Transmitted","Throughput_(packets/cycle/node)","Avg._Packet_Delay_(cycles)","Avg._Packet_Hops","Payload_Packets_Transmitted","Payload_Throughput_(packets/cycle/node)","Avg._Payload_Packet_Delay_(cycles)","Avg._Payload_Packet_Hops","Average_Flit_per_State_Delay::INPUT_BUFFER","Max_Flit_per_State_Delay::INPUT_BUFFER","Average_Flit_per_State_Delay::ROUTE_COMPUTATION","Max_Flit_per_State_Delay::ROUTE_COMPUTATION","Average_Flit_per_State_Delay::VIRTUAL_CHANNEL_ALLOCATION","Max_Flit_per_State_Delay::VIRTUAL_CHANNEL_ALLOCATION","Average_Flit_per_State_Delay::SWITCH_ALLOCATION","Max_Flit_per_State_Delay::SWITCH_ALLOCATION","Average_Flit_per_State_Delay::SWITCH_TRAVERSAL","Max_Flit_per_State_Delay::SWITCH_TRAVERSAL","Average_Flit_per_State_Delay::LINK_TRAVERSAL","Max_Flit_per_State_Delay::LINK_TRAVERSAL","Average_Flit_per_State_Delay::DESTINATION_ARRIVED","Max_Flit_per_State_Delay::DESTINATION_ARRIVED"
"uniform","0.03","xy","random","xy+random","uniform","","","","XY","15","20066","38577","0.030039152048240807","38.26015501464603","6.317831868730073","38577","0.030039152048240807","38.26015501464603","6.317831868730073","2.2108223269859635","27","1.0053134090750566","18","1.0370584639119","4","1.0","1","1.0","1","1.0001730474881303","6","0.0","0.0"
"uniform","0.03","oddEven","bufferLevel","oddEven+bufferLevel","uniform","","","","BL","15","20062","38483","0.02997193076462965","38.37346360730712","6.329833952654419","38483","0.02997193076462965","38.37346360730712","6.329833952654419","2.2149925489858","25","1.0073114359725934","16","1.0421813613803466","4","1.0","1","1.0","1","1.0003510345769058","7","0.0","0.0"
"uniform","0.03","oddEven","aco","oddEven+aco","uniform","0.001","0.45","0.001","ACO/aj=0.001/a=0.45/rf=0.001","22","20066","40846","0.031805977773347954","38.221735298438034","6.351809234686383","38332","0.029848375361307685","38.55535844725034","6.35354273192111","2.188010439581528","25","1.0083100144153312","19","1.0452579727573368","4","1.0","1","1.0","1","1.0004650962077877","14","0.0","0.0"
"uniform","0.045","xy","random","xy+random","uniform","","","","XY","19","20077","57713","0.044915357125068486","39.073449656056695","6.323583941226413","57713","0.044915357125068486","39.073449656056695","6.323583941226413","2.3012387896523663","28","1.0215753809394634","22","1.073034061920302","4","1.0","1","1.0","1","1.0024231870850149","14","0.0","0.0"
"uniform","0.045","oddEven","bufferLevel","oddEven+bufferLevel","uniform","","","","BL","21","20071","57841","0.045028430322355636","39.26797600318113","6.310247056586158","57841","0.045028430322355636","39.26797600318113","6.310247056586158","2.3320198306259607","34","1.036458433221641","28","1.0879418944576715","5","1.0","1","1.0","1","1.0033672472733193","23","0.0","0.0"
"uniform","0.045","oddEven","aco","oddEven+aco","uniform","0.001","0.45","0.001","ACO/aj=0.001/a=0.45/rf=0.001","20","20121","60473","0.04696042070473635","39.332627784300435","6.339209233872968","57851","0.04492430172456637","39.599332768664325","6.345905861609998","2.3230675246615147","40","1.0409859371698522","27","1.0927426822937725","5","1.0","1","1.0","1","1.0037339806632573","18","0.0","0.0"
"uniform","0.06","xy","random","xy+random","uniform","","","","XY","31","20083","77287","0.06013092540955037","40.637675158823605","6.333756000362286","77287","0.06013092540955037","40.637675158823605","6.333756000362286","2.4777949488986084","41","1.071325408514924","28","1.126338819693698","5","1.0","1","1.0000056177824264","4","1.014246901001868","34","0.0","0.0"
"uniform","0.06","oddEven","bufferLevel","oddEven+bufferLevel","uniform","","","","BL","22","20075","77039","0.05996186176836862","41.46627033061177","6.333766014615974","77039","0.05996186176836862","41.46627033061177","6.333766014615974","2.567827550943033","45","1.115893734360494","30","1.1494936950119583","5","1.0","1","1.0000153705217985","9","1.0299781216233317","32","0.0","0.0"
"uniform","0.06","oddEven","aco","oddEven+aco","uniform","0.001","0.45","0.001","ACO/aj=0.001/a=0.45/rf=0.001","24","20087","79399","0.061761804898690695","41.2416025390748","6.319223164019698","76817","0.05975335415940658","41.41580639702149","6.31935639246521","2.556278159508325","39","1.1163391397935185","29","1.1517678478893452","5","1.0","1","1.0000326857135853","13","1.027698229332505","35","0.0","0.0"
"uniform","0.075","xy","random","xy+random","uniform","","","","XY","27","20066","96224","0.07492773846307187","43.63567301296974","6.351502743598271","96224","0.07492773846307187","43.63567301296974","6.351502743598271","2.801143959016112","48","1.170784744595176","35","1.191620293634964","5","1.0","1","1.000139896296757","19","1.0784946100830577","43","0.0","0.0"
"uniform","0.075","oddEven","bufferLevel","oddEven+bufferLevel","uniform","","","","BL","27","20072","96252","0.07492713730569948","46.27191123301334","6.3544445829697045","96252","0.07492713730569948","46.27191123301334","6.3544445829697045","3.047227236163158","54","1.2842724662703473","41","1.2223933502063347","5","1.0","1","1.0014718914111191","40","1.2159437963739095","67","0.0","0.0"
"uniform","0.075","oddEven","aco","oddEven+aco","uniform","0.001","0.45","0.001","ACO/aj=0.001/a=0.45/rf=0.001","28","20087","98668","0.07675051028028078","45.788685288036646","6.3358738395427086","96100","0.07475294966894011","45.92908428720083","6.335026014568158","3.0203892579998826","48","1.2778765988213991","43","1.2248427572350866","5","1.0","1","1.0014537824449652","28","1.1895665340158328","58","0.0","0.0"
"uniform","0.09","xy","random","xy+random","uniform","","","","XY","39","20087","115307","0.08969342734106636","49.143807401111815","6.335209484246403","115307","0.08969342734106636","49.143807401111815","6.335209484246403","3.361577918504464","46","1.3356947490328464","35","1.26330948645711","5","1.0","1","1.002070858898225","25","1.3404168163501504","57","0.0","0.0"
"uniform","0.09","oddEven","bufferLevel","oddEven+bufferLevel","uniform","","","","BL","33","20126","115503","0.089671786495081","60.10076794542133","6.3398353289524945","115503","0.089671786495081","60.10076794542133","6.3398353289524945","4.1092660494080055","148","1.6272399524765455","101","1.3025086375244104","5","1.0","1","1.0326966146366778","104","2.3472405300542993","245","0.0","0.0"
"uniform","0.09","oddEven","aco","oddEven+aco","uniform","0.001","0.45","0.001","ACO/aj=0.001/a=0.45/rf=0.001","33","20101","117475","0.09131619695537535","56.76089380719302","6.3268269844647795","114857","0.08928116138500572","56.87844014731362","6.328460607538069","3.9294074110555677","84","1.5745609786288217","59","1.3030095096630447","5","1.0","1","1.0175491338811047","53","1.9926647228331116","130","0.0","0.0"
"uniform","0.105","xy","random","xy+random","uniform","","","","XY","40","20112","135534","0.10529627834128878","68.98933109035372","6.329747517228149","135534","0.10529627834128878","68.98933109035372","6.329747517228149","4.803373893805309","89","1.7234245176571519","65","1.3512080718408759","5","1.0","1","1.0379451588537538","57","3.0721020070269476","141","0.0","0.0"
"uniform","0.105","oddEven","bufferLevel","oddEven+bufferLevel","uniform","","","","BL","371","29933","134908","0.07042185881802693","2554.97819995849","6.307253832241231","134908","0.07042185881802693","2554.97819995849","6.307253832241231","12.309021987333397","1879","5.9303548364729535","1142","1.3016609491843332","5","1.0","1","2.446761895360084","1144","18.74480265813397","2114","0.0","0.0"
"uniform","0.105","oddEven","aco","oddEven+aco","uniform","0.001","0.45","0.001","ACO/aj=0.001/a=0.45/rf=0.001","320","28380","137308","0.07559681113460183","2123.3804803798757","6.331459201211874","134702","0.07416204193093728","2124.671660405933","6.330715208385919","11.547973532809747","2003","5.377614567037821","1773","1.3127933192233368","6","1.0","1","2.246610787597297","1776","17.180766509621908","2324","0.0","0.0"
"uniform","0.12","xy","random","xy+random","uniform","","","","XY","124","23417","154130","0.10284328692829996","657.4078375397391","6.341893207033024","154130","0.10284328692829996","657.4078375397391","6.341893207033024","8.700868614676985","363","3.501530472359424","277","1.38790619923149","5","1.0","1","1.5802546558687887","210","11.429501084598698","457","0.0","0.0"
"uniform","0.12","oddEven","bufferLevel","oddEven+bufferLevel","uniform","","","","BL","807","37729","154323","0.06391096702801559","6241.377033883478","6.331629115556333","154323","0.06391096702801559","6241.377033883478","6.331629115556333","13.194268131931112","3413","6.7877027906614975","2276","1.2862116678060742","6","1.0","1","2.6962466585338896","2278","20.233565732814938","4174","0.0","0.0"
"uniform","0.12","oddEven","aco","oddEven+aco","uniform","0.001","0.45","0.001","ACO/aj=0.001/a=0.45/rf=0.001","789","37023","156338","0.06598010020797883","5809.101977766122","6.322474382427816","153778","0.06489969073278773","5815.663846584037","6.323277712026428","12.448886031443168","2151","6.421905967263666","1629","1.292563152351729","6","1.0","1","2.517320320177305","1615","18.570976613135258","2716","0.0","0.0"
